Alg,Makespan,Throughput
MinMin,1463.5714,0.1708
MaxMin,1195.0000,0.2092
GA-1x,6906.4286,0.0362
GA-5x,6785.0000,0.0368
GA-10x,5537.1429,0.0451
GA-15x,2493.0769,0.1003
GA-20x,2030.0000,0.1232
GA-25x,1811.4286,0.1380
GA-30x,1427.2222,0.1752
GA-35x,1427.2222,0.1752
GA-40x,1319.0909,0.1895
GA-45x,1231.8182,0.2030
GA-50x,1219.7059,0.2050
GA-55x,1213.8235,0.2060
GA-60x,1210.4348,0.2065
GA-65x,1213.8235,0.2060
GA-70x,1207.1429,0.2071
GA-75x,1204.4118,0.2076
GA-80x,1204.4118,0.2076
GA-85x,1200.2000,0.2083
GA-90x,1200.2000,0.2083
GA-95x,1200.0000,0.2083
GA-100x,1200.0000,0.2083
FGA-1x,1195.0000,0.2092
FGA-5x,1195.0000,0.2092
FGA-10x,1195.0000,0.2092
FGA-15x,1195.0000,0.2092
FGA-20x,1195.0000,0.2092
FGA-25x,1195.0000,0.2092
FGA-30x,1195.0000,0.2092
FGA-35x,1195.0000,0.2092
FGA-40x,1195.0000,0.2092
FGA-45x,1195.0000,0.2092
FGA-50x,1195.0000,0.2092
FGA-55x,1195.0000,0.2092
FGA-60x,1195.0000,0.2092
FGA-65x,1195.0000,0.2092
FGA-70x,1195.0000,0.2092
FGA-75x,1195.0000,0.2092
FGA-80x,1195.0000,0.2092
FGA-85x,1195.0000,0.2092
FGA-90x,1195.0000,0.2092
FGA-95x,1195.0000,0.2092
FGA-100x,1195.0000,0.2092
