Alg,Makespan,Throughput,ARUR
MinMin,2831.0870,0.1766,0.7960
MaxMin,2543.8889,0.1965,0.9966
GA-1x,25356.6667,0.0197,0.2248
GA-5x,21300.0000,0.0235,0.2473
GA-10x,17763.3333,0.0281,0.2745
GA-15x,9501.6667,0.0526,0.4144
GA-20x,7215.5556,0.0693,0.5097
GA-25x,6133.3333,0.0815,0.5634
GA-30x,5756.6667,0.0869,0.5951
GA-35x,5120.0000,0.0977,0.6413
GA-40x,4672.2222,0.1070,0.6699
GA-45x,4193.3333,0.1192,0.7148
GA-50x,3686.6667,0.1356,0.7762
GA-55x,3432.2222,0.1457,0.8232
GA-60x,3380.0000,0.1479,0.8334
GA-65x,3380.0000,0.1479,0.8334
GA-70x,3317.7778,0.1507,0.8220
GA-75x,3125.0000,0.1600,0.8675
GA-80x,3049.0909,0.1640,0.8813
GA-85x,2923.3333,0.1710,0.8985
GA-90x,2786.1765,0.1795,0.9259
GA-95x,2741.6667,0.1824,0.9343
GA-100x,2683.6364,0.1863,0.9468
FGA-1x,2543.8889,0.1965,0.9966
FGA-5x,2543.8889,0.1965,0.9966
FGA-10x,2543.8889,0.1965,0.9966
FGA-15x,2543.8889,0.1965,0.9966
FGA-20x,2543.8889,0.1965,0.9966
FGA-25x,2543.8889,0.1965,0.9966
FGA-30x,2543.8889,0.1965,0.9966
FGA-35x,2543.8889,0.1965,0.9966
FGA-40x,2543.8889,0.1965,0.9966
FGA-45x,2543.8889,0.1965,0.9966
FGA-50x,2543.8889,0.1965,0.9966
FGA-55x,2543.8889,0.1965,0.9966
FGA-60x,2543.8889,0.1965,0.9966
FGA-65x,2543.8889,0.1965,0.9966
FGA-70x,2543.8889,0.1965,0.9966
FGA-75x,2543.8889,0.1965,0.9966
FGA-80x,2543.8889,0.1965,0.9966
FGA-85x,2543.8889,0.1965,0.9966
FGA-90x,2543.8889,0.1965,0.9966
FGA-95x,2543.8889,0.1965,0.9966
FGA-100x,2543.8889,0.1965,0.9966
