Alg,Makespan,Throughput
MinMin,4265.0000,0.1758
MaxMin,4055.7143,0.1849
GA-1x,26995.0000,0.0278
GA-5x,20515.0000,0.0366
GA-10x,11120.0000,0.0674
GA-15x,9153.3333,0.0819
GA-20x,8015.0000,0.0936
GA-25x,7400.0000,0.1014
GA-30x,7166.4286,0.1047
GA-35x,6750.0000,0.1111
GA-40x,6750.0000,0.1111
GA-45x,6750.0000,0.1111
GA-50x,6665.0000,0.1125
GA-55x,6071.6667,0.1235
GA-60x,5799.0000,0.1293
GA-65x,5605.0000,0.1338
GA-70x,5540.3846,0.1354
GA-75x,5105.0000,0.1469
GA-80x,4796.3636,0.1564
GA-85x,4661.1111,0.1609
GA-90x,4601.8182,0.1630
GA-95x,4544.0000,0.1651
GA-100x,4437.6190,0.1690
FGA-1x,4055.7143,0.1849
FGA-5x,4055.7143,0.1849
FGA-10x,4055.7143,0.1849
FGA-15x,4055.7143,0.1849
FGA-20x,4055.7143,0.1849
FGA-25x,4055.7143,0.1849
FGA-30x,4055.7143,0.1849
FGA-35x,4055.7143,0.1849
FGA-40x,4055.7143,0.1849
FGA-45x,4055.7143,0.1849
FGA-50x,4055.7143,0.1849
FGA-55x,4055.7143,0.1849
FGA-60x,4055.7143,0.1849
FGA-65x,4055.7143,0.1849
FGA-70x,4055.7143,0.1849
FGA-75x,4055.7143,0.1849
FGA-80x,4055.7143,0.1849
FGA-85x,4055.7143,0.1849
FGA-90x,4055.7143,0.1849
FGA-95x,4055.7143,0.1849
FGA-100x,4055.7143,0.1849
