Alg,Makespan,Throughput,ARUR
MinMin,1918.5000,0.1303,0.8275
MaxMin,1583.2000,0.1579,0.9965
GA-1x,2218.2222,0.1127,0.7137
GA-5x,2008.7805,0.1245,0.7831
GA-10x,1850.7317,0.1351,0.8503
GA-15x,1739.2000,0.1437,0.9075
GA-20x,1681.1321,0.1487,0.9385
GA-25x,1664.3636,0.1502,0.9484
GA-30x,1633.4884,0.1530,0.9656
GA-35x,1615.0000,0.1548,0.9780
GA-40x,1611.7073,0.1551,0.9791
GA-45x,1598.7500,0.1564,0.9863
GA-50x,1597.0732,0.1565,0.9879
GA-55x,1597.0732,0.1565,0.9879
GA-60x,1597.0732,0.1565,0.9879
GA-65x,1597.0732,0.1565,0.9879
GA-70x,1597.0732,0.1565,0.9879
GA-75x,1597.0732,0.1565,0.9879
GA-80x,1596.5217,0.1566,0.9879
GA-85x,1596.5217,0.1566,0.9879
GA-90x,1595.1111,0.1567,0.9888
GA-95x,1595.1111,0.1567,0.9888
GA-100x,1593.0233,0.1569,0.9902
FGA-1x,1583.2000,0.1579,0.9965
FGA-5x,1583.2000,0.1579,0.9965
FGA-10x,1583.2000,0.1579,0.9965
FGA-15x,1583.2000,0.1579,0.9965
FGA-20x,1583.2000,0.1579,0.9965
FGA-25x,1583.2000,0.1579,0.9965
FGA-30x,1583.2000,0.1579,0.9965
FGA-35x,1583.2000,0.1579,0.9965
FGA-40x,1583.2000,0.1579,0.9965
FGA-45x,1583.2000,0.1579,0.9965
FGA-50x,1583.2000,0.1579,0.9965
FGA-55x,1583.2000,0.1579,0.9965
FGA-60x,1583.2000,0.1579,0.9965
FGA-65x,1583.2000,0.1579,0.9965
FGA-70x,1583.2000,0.1579,0.9965
FGA-75x,1583.2000,0.1579,0.9965
FGA-80x,1583.2000,0.1579,0.9965
FGA-85x,1583.2000,0.1579,0.9965
FGA-90x,1583.2000,0.1579,0.9965
FGA-95x,1583.2000,0.1579,0.9965
FGA-100x,1583.2000,0.1579,0.9965
