Alg,Makespan,Throughput,ARUR
MinMin,9955.6250,0.1004,0.9056
MaxMin,9539.5455,0.1048,0.9993
GA-1x,47295.0000,0.0211,0.3097
GA-5x,32405.0000,0.0309,0.4231
GA-10x,28043.3333,0.0357,0.4735
GA-15x,24865.0000,0.0402,0.5160
GA-20x,21730.0000,0.0460,0.5668
GA-25x,18535.0000,0.0540,0.6441
GA-30x,17798.7500,0.0562,0.6626
GA-35x,16083.7500,0.0622,0.7036
GA-40x,15126.6667,0.0661,0.7417
GA-45x,14276.0000,0.0700,0.7749
GA-50x,13930.0000,0.0718,0.7872
GA-55x,13560.0000,0.0737,0.7996
GA-60x,12878.0000,0.0777,0.8285
GA-65x,12713.5714,0.0787,0.8359
GA-70x,12362.0000,0.0809,0.8421
GA-75x,11465.0000,0.0872,0.8864
GA-80x,11252.5000,0.0889,0.9020
GA-85x,10970.5556,0.0912,0.9139
GA-90x,10815.0000,0.0925,0.9259
GA-95x,10648.0000,0.0939,0.9344
GA-100x,10477.5000,0.0954,0.9433
FGA-1x,9539.5455,0.1048,0.9993
FGA-5x,9539.5455,0.1048,0.9993
FGA-10x,9539.5455,0.1048,0.9993
FGA-15x,9539.5455,0.1048,0.9993
FGA-20x,9539.5455,0.1048,0.9993
FGA-25x,9539.5455,0.1048,0.9993
FGA-30x,9539.5455,0.1048,0.9993
FGA-35x,9539.5455,0.1048,0.9993
FGA-40x,9539.5455,0.1048,0.9993
FGA-45x,9539.5455,0.1048,0.9993
FGA-50x,9539.5455,0.1048,0.9993
FGA-55x,9539.5455,0.1048,0.9993
FGA-60x,9539.5455,0.1048,0.9993
FGA-65x,9539.5455,0.1048,0.9993
FGA-70x,9539.5455,0.1048,0.9993
FGA-75x,9539.5455,0.1048,0.9993
FGA-80x,9539.5455,0.1048,0.9993
FGA-85x,9539.5455,0.1048,0.9993
FGA-90x,9539.5455,0.1048,0.9993
FGA-95x,9539.5455,0.1048,0.9993
FGA-100x,9539.5455,0.1048,0.9993
