Alg,Makespan,Throughput
MinMin,8065.0000,0.0930
MaxMin,7513.6667,0.0998
GA-1x,26995.0000,0.0278
GA-5x,26005.0000,0.0288
GA-10x,17586.6667,0.0426
GA-15x,14425.0000,0.0520
GA-20x,12504.0000,0.0600
GA-25x,10923.3333,0.0687
GA-30x,10250.0000,0.0732
GA-35x,9305.0000,0.0806
GA-40x,8925.7143,0.0840
GA-45x,8613.7500,0.0871
GA-50x,8140.0000,0.0921
GA-55x,8090.0000,0.0927
GA-60x,8090.0000,0.0927
GA-65x,8090.0000,0.0927
GA-70x,8080.9375,0.0928
GA-75x,7974.5455,0.0940
GA-80x,8017.1429,0.0935
GA-85x,7840.8333,0.0957
GA-90x,7746.5000,0.0968
GA-95x,7688.7500,0.0975
GA-100x,7620.0000,0.0984
FGA-1x,7513.6667,0.0998
FGA-5x,7513.6667,0.0998
FGA-10x,7513.6667,0.0998
FGA-15x,7513.6667,0.0998
FGA-20x,7513.6667,0.0998
FGA-25x,7513.6667,0.0998
FGA-30x,7513.6667,0.0998
FGA-35x,7513.6667,0.0998
FGA-40x,7513.6667,0.0998
FGA-45x,7513.6667,0.0998
FGA-50x,7513.6667,0.0998
FGA-55x,7513.6667,0.0998
FGA-60x,7513.6667,0.0998
FGA-65x,7513.6667,0.0998
FGA-70x,7513.6667,0.0998
FGA-75x,7513.6667,0.0998
FGA-80x,7513.6667,0.0998
FGA-85x,7513.6667,0.0998
FGA-90x,7513.6667,0.0998
FGA-95x,7513.6667,0.0998
FGA-100x,7513.6667,0.0998
